table,project,link,sponsors
1,HappyApp,https://dubhacks18f.devpost.com/submissions/104284-happyapp,nan
2,ShopAware,https://dubhacks18f.devpost.com/submissions/104346-shopaware, Best Social Good Hack
3,dropBF,https://dubhacks18f.devpost.com/submissions/104350-dropbf,"Best Transportation Hack , Facebook Hack,  Best Social Good Hack, Top Teams Overall"
4,Cancer Predictor,https://dubhacks18f.devpost.com/submissions/104351-cancer-predictor,nan
5,FinanceCam,https://dubhacks18f.devpost.com/submissions/104353-financecam,"Best Use of BlackRock API, Best Use of Data Visualization with Qualtrics,  Best Social Good Hack,  Best use of Google Cloud Platform, Best Domain Registered with Domain.com, Best Use of Google Cloud Platform"
6,Speak Easy,https://dubhacks18f.devpost.com/submissions/104355-speak-easy," Best Social Good Hack, Azure Champ Prize, Best Use of Google Cloud Platform, Top Teams Overall"
7,Alzheimer's Assistant,https://dubhacks18f.devpost.com/submissions/104359-alzheimer-s-assistant,nan
8,FindC,https://dubhacks18f.devpost.com/submissions/104362-findc," Best use of Google Cloud Platform, Best Use of Google Cloud Platform"
9,DubReader,https://dubhacks18f.devpost.com/submissions/104363-dubreader," Best Social Good Hack,  Best use of Google Cloud Platform, Top Teams Overall"
10,glyco.me,https://dubhacks18f.devpost.com/submissions/104386-glyco-me,Best Use of Algolia
11,Trusted Receivables ,https://dubhacks18f.devpost.com/submissions/104389-trusted-receivables," Best use of Google Cloud Platform, Azure Champ Prize, Top Teams Overall"
12,Reefocus,https://dubhacks18f.devpost.com/submissions/104390-reefocus," Best Social Good Hack, Best Domain Registered with Domain.com, Best Use of Google Cloud Platform"
13,FeelingFeed,https://dubhacks18f.devpost.com/submissions/104391-feelingfeed,nan
14,Sherlock's Palace,https://dubhacks18f.devpost.com/submissions/104392-sherlock-s-palace,"Best Use of Algolia, Facebook Hack,  Best Social Good Hack, Azure Champ Prize, Best Use of Google Cloud Platform, Top Teams Overall"
15,Lazy-Panopto,https://dubhacks18f.devpost.com/submissions/104393-lazy-panopto,nan
16,Homeless in Seattle,https://dubhacks18f.devpost.com/submissions/104394-homeless-in-seattle,"Best Use of Data Visualization with Qualtrics,  Best Social Good Hack, Best Domain Registered with Domain.com, Best Use of Google Cloud Platform, Top Teams Overall"
17,Webify Groceries ,https://dubhacks18f.devpost.com/submissions/104395-webify-groceries, Best Social Good Hack
18,dubhacks_rhythm,https://dubhacks18f.devpost.com/submissions/104396-dubhacks_rhythm,Best Domain Registered with Domain.com
19,WhereCanIEat,https://dubhacks18f.devpost.com/submissions/104397-wherecanieat," Best use of Google Cloud Platform, Best Use of Google Cloud Platform"
20,Haven,https://dubhacks18f.devpost.com/submissions/104398-haven,"Facebook Hack,  Best Social Good Hack, Azure Champ Prize, Top Teams Overall"
21,Subpup,https://dubhacks18f.devpost.com/submissions/104399-subpup,nan
22,Piaro,https://dubhacks18f.devpost.com/submissions/104400-piaro," Best Social Good Hack, Best Use of Google Cloud Platform"
23,EASy (Emergency Alert System),https://dubhacks18f.devpost.com/submissions/104401-easy-emergency-alert-system," Best IoT Hack using a Qualcomm Device, Best Transportation Hack ,  Best Social Good Hack, Azure Champ Prize, Best Use of Google Cloud Platform, Top Teams Overall"
24,What Bin?,https://dubhacks18f.devpost.com/submissions/104402-what-bin,nan
25,Magic Dequeue,https://dubhacks18f.devpost.com/submissions/104403-magic-dequeue,nan
26,Memaid,https://dubhacks18f.devpost.com/submissions/104404-memaid,nan
27,AVOCADawg,https://dubhacks18f.devpost.com/submissions/104405-avocadawg,"Best Transportation Hack , Top Teams Overall"
28,Reality Stocks,https://dubhacks18f.devpost.com/submissions/104406-reality-stocks,"Best Use of Algolia,  Best Social Good Hack, Top Teams Overall"
29,OrbitTXT,https://dubhacks18f.devpost.com/submissions/104407-orbittxt,"Best Transportation Hack , Best Use of Data Visualization with Qualtrics,  Best Social Good Hack, Best Domain Registered with Domain.com, Azure Champ Prize, Top Teams Overall"
30,Inspectrium,https://dubhacks18f.devpost.com/submissions/104408-inspectrium, Best Social Good Hack
31,Meme Market,https://dubhacks18f.devpost.com/submissions/104409-meme-market,nan
32,Dubs Dining,https://dubhacks18f.devpost.com/submissions/104410-dubs-dining,nan
33,Lost N' Pound,https://dubhacks18f.devpost.com/submissions/104411-lost-n-pound," Best Social Good Hack,  Best use of Google Cloud Platform, Top Teams Overall"
34,UW Crime Log,https://dubhacks18f.devpost.com/submissions/104413-uw-crime-log," Best use of HERE.com,  Best Social Good Hack, Best Domain Registered with Domain.com, Azure Champ Prize, Best Use of Google Cloud Platform"
35,ELC (Evaluating Local Candidates),https://dubhacks18f.devpost.com/submissions/104415-elc-evaluating-local-candidates, Best Social Good Hack
